"HDR";"010";"20200529000000"
"POS";"8710933092615";"U.S.D.";"";"0";"0";"1500";"1";"O'lacy Sinas Light 1,5L Pet"
"POS";"8710933092677";"U.S.D.";"";"0";"0";"1500";"1";"O'lacy Cassis 1,5L pet"
"POS";"8715600229202";"Vrumona";"";"0";"0";"1500";"1";"PET 150cl CRYSTAL CLEAR CHERRY"
"POS";"8715600229226";"Vrumona";"";"0";"0";"1000";"1";"PET 100cl SOURCY SPRS.CRA/APP "
"POS";"8715600229240";"Vrumona";"";"0";"0";"1000";"1";"SOURCY SPRS.LIM/APP 1,0 "
"POS";"8715600229264";"Vrumona";"";"0";"0";"1000";"1";"PET 100cl RIVELLA ROOD      12"
"POS";"8715600229288";"Vrumona";"";"0";"0";"1000";"1";"PET 100cl PEPSI MAX         12"
"POS";"8722200951266";"U.S.D.";"";"0";"0";"1500";"1";"Euroshopper Cola 1,5L Pet"
"POS";"8722200951273";"U.S.D.";"";"0";"0";"1500";"1";"Euroshopper Cola Light 1,5L"
"POS";"8722200951280";"U.S.D.";"";"0";"0";"1500";"1";"Euroshopper Orange 1,5L Pet"
"POS";"8722200951297";"U.S.D.";"";"0";"0";"1500";"1";"Euroshopper Drink 1,5L Pet"
"POS";"9006378633452";"Drinks & Liquors B.V.";"";"0";"0";"1500";"1";"Red Oktober Energy 1,5 ltr"
"POS";"8710408101590";"U.S.D.";"";"0";"0";"1500";"1";"C 1000 cola light"
"POS";"8715600229929";"Vrumona";"";"0";"0";"1500";"1";"Crystal Clear Peach 1,5 ltr"
"POS";"3068320049502";"BSB";"";"0";"0";"1500";"1";"Evian 1,5 ltr"
"POS";"8715600227048";"Vrumona";"";"0";"0";"1500";"1";"Crystal Clear Lemon"
"POS";"8715600229141";"Vrumona";"";"0";"0";"1500";"1";"Crystal Clear Sparkling Cherry"
"POS";"8710624024512";"Topbronnen";"";"0";"0";"1500";"1";"Bon Vital bruisend water"
"POS";"8710624024536";"Topbronnen";"";"0";"0";"1500";"1";"Bon Vital plat water"
"POS";"5411118105078";"Topbronnen";"";"0";"0";"1500";"1";"Eigen product bruisend water"
"POS";"5411118105092";"Topbronnen";"";"0";"0";"1500";"1";"Top bronwater KZV"
"POS";"5000112556100";"Coca-Cola";"";"0";"0";"1000";"1";"FANTA WORLD MANGO"
"POS";"8809041422305";"Engel Foreign Food bv";"";"0";"0";"1500";"1";"Aloe Vera Lychee"
"POS";"8809041422312";"Engel Foreign Food bv";"";"0";"0";"1500";"1";"Aloe Vera Peach"
"POS";"8809041422329";"Engel Foreign Food bv";"";"0";"0";"1500";"1";"Aloe Vera Pineapple"
"POS";"8715600229875";"Vrumona";"";"0";"0";"1500";"1";"7-UP FREE XTRA BITE"
"POS";"0742782211938";"Engel Foreign Food bv";"";"0";"0";"1000";"1";"Gosa Fria"
"POS";"8710933097207";"U.S.D.";"";"0";"0";"1500";"1";"O'lacy light drink"
